Tract,Z_i,time
V0,250.89552737238387,20.074196815490723
V1,254.29402510533842,27.97151780128479
V2,253.39358098954582,32.30403399467468
V3,254.23362354905217,21.70830488204956
V4,254.2412825389766,19.023441076278687
V5,254.0734928047813,20.931832790374756
V6,254.21413400039575,18.28467082977295
V7,254.38356238153236,15.801473140716553
V8,253.78075558915904,30.378386735916138
V9,253.76730276621993,58.712652921676636
V10,252.48250445708365,37.42731809616089
V11,254.08743905722764,29.381542205810547
V12,254.3614168246987,36.66135001182556
V13,254.20079067050514,11.941269874572754
V14,254.38519565745574,25.0314621925354
V15,253.96730198709028,57.15323209762573
V16,254.11515558571767,17.351402044296265
V17,254.4012274760928,15.40637493133545
V18,254.33658125833006,44.80412292480469
V19,254.20845853588676,23.955647945404053
V20,254.44265749893376,25.453043937683105
V21,254.25241701508824,18.06744909286499
V22,254.25145696157045,35.38456988334656
V23,254.28309685704855,30.632750034332275
V24,254.30984144682955,37.95525813102722
V25,254.30178110992776,52.08460187911987
V26,254.20913265253753,39.525537967681885
V27,254.28602800253796,21.1515851020813
V28,253.4340405172077,26.800232887268066
V29,254.3609545467651,31.239938974380493
V30,254.3328460174171,19.31618595123291
V31,254.19796082411966,36.6504921913147
V32,254.21810663840535,26.660858869552612
V33,253.91041859697927,30.41935896873474
V34,254.20638886445988,37.254213094711304
V35,254.06931928020518,14.070023775100708
V36,254.08002282360243,17.36850094795227
V37,253.97137382765038,29.486123085021973
V38,254.08642673272215,11.803570985794067
V39,254.48012574515815,36.88304781913757
V40,254.404693221135,17.918537139892578
V41,254.44454755583533,21.79721689224243
V42,254.4050560593113,31.92668890953064
V43,253.9846841470854,38.63745999336243
V44,254.04801539080523,20.12576985359192
V45,254.37250644807938,25.623464107513428
V46,254.34459828424775,26.29922103881836
V47,254.0784824991288,35.923465967178345
V48,254.00105627052665,28.746461153030396
V49,254.25683445138284,18.38803005218506
V50,254.3160325150753,11.912298917770386
V51,254.28451881799123,19.51014518737793
V52,254.3993866470281,15.380878925323486
V53,254.24024418246813,25.43222999572754
V54,254.17754266115264,20.61309289932251
V55,254.1960915394878,22.634321928024292
V56,253.91961859521777,35.69974970817566
V57,254.27928967018835,44.47084379196167
V58,254.11660221202462,48.39542198181152
V59,253.92254399420958,33.0550000667572
V60,254.51756245178908,28.740761756896973
V61,253.99630473953542,23.71012830734253
V62,254.31376204254227,26.53478193283081
V63,254.05338735494288,32.47826790809631
V64,246.55004892008589,13.587584018707275
V65,254.2981437750176,37.686896085739136
V66,253.99532750068119,34.522040128707886
V67,254.2952878275837,27.481492042541504
V68,248.56779877078577,20.186105966567993
V69,254.4778616143155,27.83807611465454
V70,254.30710627483245,31.235411882400513
V71,254.42277354516727,32.12665414810181
V72,254.40062876618177,17.5352680683136
V73,254.45498838767242,30.011075019836426
V74,254.40913875609004,34.074941873550415
V75,254.1879616418986,22.90148615837097
V76,254.36528864754663,18.378477096557617
V77,254.24214511973761,29.413987159729004
V78,254.14592078782894,29.478245973587036
V79,254.3489978197425,20.626814126968384
V80,254.24986198457626,26.22042202949524
V81,254.15818157373045,10.18395209312439
V82,254.39593636485716,17.181514978408813
V83,254.32783942883427,33.14226579666138
V84,254.42926217507937,29.3478741645813
V85,254.38161572036122,19.527132987976074
V86,254.09784224608947,17.85238003730774
V87,254.09065855760008,21.52765202522278
V88,254.2349516112882,21.78634810447693
V89,254.51094729223647,37.956806898117065
V90,254.12902701451432,39.61831283569336
V91,254.27028344376532,16.888916015625
V92,254.02251243745653,22.493351936340332
V93,254.40140368491555,15.646381616592407
V94,254.37392302639435,49.993760108947754
V95,254.43963585097697,29.938719987869263
V96,254.48574069200777,17.455026388168335
V97,254.30637001967096,22.684002161026
V98,254.40136403404497,17.330520153045654
V99,254.27941635923764,20.689042806625366
V100,254.3780899072833,26.431643962860107
V101,254.41100974144908,12.263801097869873
V102,254.3951247455776,25.558006048202515
V103,254.2461511720593,29.279130935668945
V104,254.3775026754742,26.697260856628418
V105,254.29130115617147,35.716717004776
V106,254.10553183454405,29.37832498550415
V107,254.4766969274057,33.3894248008728
V108,254.21889552830706,36.257883071899414
V109,254.14908324739972,12.972071886062622
V110,254.4990964023017,27.704895973205566
V111,254.0991976283345,29.00279688835144
V112,254.28963247757198,23.28128409385681
V113,254.27429184448067,32.18207907676697
V114,254.07457885903287,18.501304149627686
V115,254.1445056974376,24.627140760421753
V116,253.948176335964,21.872051239013672
V117,254.41335708878398,16.46818995475769
V118,254.43682344646854,24.211325883865356
V119,254.23676919239045,25.836163759231567
V120,254.27565234426766,38.742772817611694
V121,254.42588539512013,20.767853021621704
V122,254.34362348669075,27.9609317779541
V123,253.56749958982203,32.52187514305115
