index,pop,density per acre
1,6255,15
2,7646,5
3,2603,5
4,5551,15
5,4841,15
6,3165,5
7,7626,5
8,4438,15
9,2583,5
10,2019,5
11,1941,5
12,2503,5
13,6494,15
14,4340,15
15,4848,5
16,2454,5
17,4131,5
18,8052,15
19,4535,15
20,4157,15
21,3406,15
22,3807,15
23,5286,5
24,2972,15
25,2802,15
26,4660,15
27,5289,15
28,4481,15
29,4177,15
30,5637,15
31,6219,15
32,7683,15
33,6224,15
34,3302,15
35,3936,15
36,5672,15
37,2058,15
38,2772,15
39,2690,5
40,7789,5
41,7618,15
42,7049,32.5
43,6260,25
44,2676,15
45,3251,5
46,6739,15
47,4539,15
48,6139,25
49,3600,15
50,3662,15
51,6076,25
52,7085,60
53,5706,5
54,4948,15
55,6382,5
56,6001,5
57,4743,15
58,5059,5
59,6836,15
60,5150,15
61,4796,15
62,3848,5
63,4962,5
64,3207,15
65,4157,15
66,3540,15
67,6544,25
68,2834,15
69,4080,15
70,6959,35
71,3055,15
72,5318,25
73,4668,25
74,9036,60
75,6282,35
76,3498,25
77,4476,15
78,5145,5
79,5147,25
80,5588,60
81,3013,60
82,4070,15
83,3280,35
84,2505,60
85,3760,35
86,4341,35
87,5055,25
88,3843,25
89,3503,15
90,4829,15
91,2925,15
92,2508,25
93,2825,35
94,2354,5
95,5700,15
96,5906,5
97,5252,15
98,5290,15
99,5173,5
100,6198,15
101,4787,5
102,8082,10
103,6553,15
104,4835,5
105,5940,15
106,9101,15
107,6342,15
108,7310,15
109,7064,10
110,4596,5
111,1287,5
112,9013,15
113,4390,15
114,4419,15
115,3906,5
116,5984,5
117,8201,15
118,4191,15
119,6413,5
120,5538,5
121,7383,15
122,7108,5
123,3349,5
