Tract,Sus,Inf,Symp,RecoveredCalc,Lat,Lon
T0,5176,236,59,60,47.727466,-122.291331
T1,7246,46,12,41,47.726673,-122.308734
T2,2424,16,3,44,47.730744,-122.335787
T3,4601,73,21,41,47.728213,-122.352721
T4,3668,162,46,708,47.717678,-122.354194
T5,3197,33,11,56,47.720704,-122.366775
T6,6751,240,67,304,47.717065,-122.327832
T7,4080,75,16,19,47.716134,-122.300443
T8,2571,3,0,26,47.711602,-122.286037
T9,1939,56,13,37,47.709381,-122.27794
T10,1637,48,17,6,47.706435,-122.296711
T11,1562,69,25,714,47.706579,-122.306423
T12,5528,266,75,237,47.707498,-122.323153
T13,4094,40,10,39,47.702743,-122.342615
T14,3535,153,51,936,47.705858,-122.362327
T15,1752,233,76,292,47.695719,-122.393822
T16,3814,77,18,38,47.697634,-122.380292
T17,7335,39,5,70,47.696627,-122.359175
T18,3941,22,6,23,47.694097,-122.342534
T19,3114,176,48,86,47.695513,-122.323998
T20,3008,65,21,23,47.695681,-122.311329
T21,3592,16,8,21,47.694821,-122.298121
T22,5314,26,5,52,47.694885,-122.281391
T23,2788,13,5,23,47.686148,-122.287963
T24,2499,12,2,30,47.682968,-122.302739
T25,3841,108,37,539,47.682682,-122.311348
T26,4842,46,14,45,47.686776,-122.33065
T27,3705,223,71,237,47.684794,-122.349713
T28,3880,45,11,52,47.684992,-122.360637
T29,4623,86,24,518,47.684907,-122.373814
T30,5677,165,54,143,47.684716,-122.39089
T31,6614,84,20,495,47.673431,-122.395863
T32,4790,160,59,823,47.675633,-122.377023
T33,3087,60,18,34,47.674315,-122.361371
T34,3403,115,40,81,47.673769,-122.353228
T35,4627,138,29,92,47.677209,-122.324622
T36,1951,8,2,19,47.678812,-122.295546
T37,2402,169,37,63,47.679231,-122.282823
T38,2356,14,3,13,47.679508,-122.267008
T39,6931,211,73,296,47.663257,-122.273558
T40,7099,51,8,48,47.670162,-122.284813
T41,5897,136,36,65,47.667279,-122.302291
T42,5026,360,111,245,47.668868,-122.312018
T43,2353,29,9,25,47.668371,-122.323187
T44,2970,28,10,15,47.66858,-122.334291
T45,4761,93,19,43,47.669097,-122.376576
T46,4043,178,40,67,47.661279,-122.359869
T47,5435,29,6,56,47.658082,-122.35131
T48,3090,92,19,52,47.660694,-122.342465
T49,3270,70,16,98,47.65822,-122.332125
T50,4752,29,6,498,47.659629,-122.321867
T51,7576,146,33,756,47.66162,-122.311168
T52,2482,24,9,15,47.657659,-122.307672
T53,3612,30,9,591,47.652156,-122.34002
T54,5332,165,54,678,47.643323,-122.405108
T55,5181,66,19,725,47.653985,-122.399742
T56,4283,144,35,82,47.653269,-122.38808
T57,3955,113,34,720,47.640497,-122.382497
T58,5941,170,54,551,47.647372,-122.367765
T59,4325,196,66,139,47.64341,-122.351968
T60,3991,287,70,99,47.644485,-122.322206
T61,3638,80,27,56,47.638801,-122.304392
T62,4926,37,5,43,47.635231,-122.282652
T63,2919,128,45,111,47.628706,-122.305264
T64,3605,208,72,163,47.629243,-122.319571
T65,2421,284,100,150,47.634998,-122.325764
T66,5262,45,14,49,47.632326,-122.346033
T67,2572,39,14,22,47.636139,-122.356331
T68,3515,236,57,38,47.634514,-122.367032
T69,5812,265,61,719,47.627864,-122.357485
T70,1743,28,6,35,47.622892,-122.359239
T71,2580,232,66,207,47.616695,-122.344875
T72,1649,153,55,362,47.619428,-122.332753
T73,8712,100,23,100,47.620812,-122.32485
T74,5440,51,10,53,47.620249,-122.316163
T75,3214,18,6,24,47.621897,-122.307609
T76,3470,224,73,226,47.619186,-122.297769
T77,5028,32,11,26,47.612859,-122.288016
T78,3148,176,64,846,47.614648,-122.308494
T79,2930,251,78,151,47.615634,-122.349426
T80,2626,109,21,8,47.612271,-122.344216
T81,3004,28,14,434,47.60662,-122.337405
T82,2437,130,43,266,47.610067,-122.329528
T83,2414,50,8,36,47.611671,-122.326899
T84,3150,132,36,521,47.614051,-122.324944
T85,5965,33,9,18,47.604366,-122.326128
T86,3558,201,77,262,47.606687,-122.317223
T87,3711,28,5,48,47.605719,-122.307424
T88,3357,107,19,23,47.607321,-122.297209
T89,3895,425,125,152,47.596588,-122.294969
T90,2113,11,2,12,47.599015,-122.307994
T91,2045,18,4,17,47.598602,-122.323248
T92,1778,20,5,33,47.600239,-122.329293
T93,2573,19,6,8,47.582761,-122.323247
T94,5101,65,18,23,47.587015,-122.311447
T95,5607,44,13,55,47.581449,-122.292422
T96,4706,132,33,50,47.586207,-122.388979
T97,4672,244,83,328,47.573599,-122.408867
T98,4742,111,26,134,47.57187,-122.395527
T99,5298,170,61,292,47.571844,-122.382963
T100,3750,186,60,343,47.566734,-122.368564
T101,7549,178,42,371,47.572267,-122.307988
T102,5200,301,90,352,47.56614,-122.285044
T103,3922,165,61,722,47.552304,-122.269128
T104,6044,96,23,16,47.55379,-122.282624
T105,8527,233,67,176,47.553752,-122.302714
T106,4867,261,111,242,47.557357,-122.385178
T107,6550,157,54,315,47.547132,-122.387843
T108,6073,19,6,42,47.544344,-122.368668
T109,3768,193,70,287,47.54611,-122.356282
T110,942,102,34,103,47.545576,-122.321401
T111,6146,47,10,58,47.54011,-122.292134
T112,4182,143,47,188,47.539668,-122.276976
T113,4316,17,6,26,47.539076,-122.269187
T114,3664,25,7,21,47.526118,-122.322104
T115,5780,121,34,40,47.525822,-122.34823
T116,7775,68,16,48,47.52523,-122.362027
T117,3867,177,48,81,47.530197,-122.375714
T118,5976,73,19,43,47.529865,-122.386954
T119,4907,155,41,89,47.523278,-122.282106
T120,7196,208,53,41,47.523098,-122.267469
T121,7052,59,12,38,47.505415,-122.257943
T122,3361,17,6,18,47.512891,-122.380237
